"Location Number","Location Name","Location Type","Address 1","Address 2","City","State","Zip Code","Telephone Number","District","Servicing Locations","Physical Close Date","Last Modified Date","Latitude","Longitude"
"1358","PUERTO RICO SRV CTR","Store","ROAD #1 KM 28.6","","CAGUAS","PR","00725","787-653-5891","South Florida","728;717;777;65;618;1372","","08/08/2024","0.0","0.0"
"1118","HATO REY PR","Store","230 Calle Federico Costa","Hato Rey","San Juan","PR","00918","787-764-4900","MM 648 Hato Rey","728;717;777;65;618;1372","","11/28/2024","0.0","0.0"
"1327","BBFB PR COMMERCIAL","Store","230 CALLE FEDERICO ACOSTA","","HATO REY","PR","00918","787-464-4900","MISCELLANEOUS","1359;717;777;65;618;1372","","08/08/2024","0.0","0.0"
"1351","BBYD PR","Store","230 CALLE FEDERICO ACOSTA","","HATO REY","PR","00918","999-999-9999","MISCELLANEOUS","1359;717;777;65;618;1372","","08/08/2024","0.0","0.0"
"1579","BBFB PUERTO RICO","Store","230 CALLE FEDERICO ACOSTA","","HATO REY","PR","00918","999-999-9999","MISCELLANEOUS","78;70;777;65;610;1372","","08/08/2024","0.0","0.0"
"1580","GSP MTH PR RECUR TRN","Store","230 CALLE FEDERICO ACOSTA","","HATO REY","PR","00918","800-433-5778","MISCELLANEOUS","78;70;777;65;610;1372","","08/08/2024","0.0","0.0"
"1583","PC SRV PR RECURR TRN","Store","230 CALLE FEDERICO ACOSTA","","HATO REY","PR","00918","800-433-5778","MISCELLANEOUS","78;70;777;65;610;1372","","08/08/2024","0.0","0.0"
"3133","IHA MARKET PR","Store","230 Calle Federico Costa","","San Juan","PR","00918","888-237-8289","MISCELLANEOUS","728;717;777;65;618;1372","05/02/2024","08/08/2024","0.0","0.0"
"1090","RIO HONDO PR","Store","60 Ave Rio Hondo","Ste 60","Bayamon","PR","00961","787-522-0999","MM 648 Hato Rey","728;717;777;65;618;1372","","11/28/2024","0.0","0.0"
"418","HOLYOKE MALL MA","Store","50 Holyoke St","","Holyoke","MA - Massachusetts","01040","413-533-4443","MM 480 Springfield","726;781;777;65;615;1372","","11/28/2024","42.1693807","-72.6418807"
"1433","LEOMINSTER MA","Store","33 Orchard Hill Park Dr","","Leominster","MA - Massachusetts","01453","978-537-9042","MM 487 Framingham","726;781;777;65;615;1372","","11/28/2024","42.5247748","-71.71240251190324"
"2506","MILLBURY MA","Store","70 Worcester Providence Tpke","Ste 140","Millbury","MA - Massachusetts","01527","508-421-9149","MM 487 Framingham","726;781;777;65;615;1372","","11/28/2024","42.1967955","-71.77767128557389"
"532","FRAMINGHAM MA","Store","1 Worcester Rd","Best Buy Ste 23","Framingham","MA - Massachusetts","01701","508-872-2223","MM 487 Framingham","726;781;777;65;615;1372","","11/28/2024","42.3021457","-71.39859198658824"
"3105","IHA MARKET 5","Store","1 WORCESTER RD","","FRAMINGHAM","MA - Massachusetts","01701","888-237-8289","MISCELLANEOUS","726;781;777;65;615;1372","05/02/2024","08/08/2024","42.3021457","-71.39859198658824"
"2184","YB Framingham MA","Store","100 Worcester Rd","","Framingham","MA - Massachusetts","01702","999-999-9999","MISCELLANEOUS","726;781;777;65;615;1372","","06/25/2024","42.29881405096384","-71.40055368115587"
"820","MARLBOROUGH MA","Store","769 Donald Lynch Blvd","","Marlborough","MA - Massachusetts","01752","508-486-9430","MM 487 Framingham","726;781;777;65;615;1372","","11/28/2024","42.351436699999994","-71.6190492721511"
"1407","MILFORD MA","Store","208 Fortune Blvd","","Milford","MA - Massachusetts","01757","508-634-2291","MISCELLANEOUS","726;781;777;65;615;1372","03/04/2023","08/08/2024","42.1624844","-71.50180889050819"
"1532","BURLINGTON MA","Store","84 Middlesex Tpke","","Burlington","MA - Massachusetts","01803","781-238-8149","MM 488 Danvers","726;781;777;65;615;1372","","11/28/2024","42.4769869","-71.21577332699681"
"818","SAUGUS MA","Store","1201 Broadway","","Saugus","MA - Massachusetts","01906","781-233-3435","MM 488 Danvers","726;781;777;65;615;1372","","11/28/2024","42.461096749999996","-71.02786659178986"
"533","DANVERS MA","Store","230 Independence Way","","Danvers","MA - Massachusetts","01923","978-774-9494","MM 488 Danvers","726;781;777;65;615;1372","","11/28/2024","42.5527016","-70.93844719125094"
"629","BOSTON - SVC","Store","140 Depot St","","Bellingham","MA - Massachusetts","02019","978-374-9877","Boston","726;87;72;65;629","","08/28/2024","42.0974561","-71.4875708829133"
"1240","BOSTON SALE EVENT","Store","140 Depot St","","Bellingham","MA - Massachusetts","02019","508-966-5700","MISCELLANEOUS","726;781;777;65;615;1372","","08/08/2024","42.0974561","-71.4875708829133"
"436","DEDHAM MA","Store","700 Providence Hwy","","Dedham","MA - Massachusetts","02026","781-461-6768","MM 485 Braintree","726;781;777;65;615;1372","","11/28/2024","42.2401598","-71.17613898390923"
"1140","MANSFIELD MA","Store","280 School St","Ste 120","Mansfield","MA - Massachusetts","02048","508-261-2340","MM 494 Warwick","726;781;777;65;615;1372","","11/28/2024","42.0136963","-71.2300252"
"1126","SOUTH BAY MA","Store","14 Allstate Rd","","Dorchester","MA - Massachusetts","02125","617-445-5361","MM 485 Braintree","726;781;777;65;615;1372","","11/28/2024","42.3278702","-71.0608913"
"537","CAMBRIDGE MA","Store","100 Cambridgeside Pl","","Cambridge","MA - Massachusetts","02141","617-577-8866","MISCELLANEOUS","726;781;777;65;615;1372","06/04/2022","08/08/2024","42.3687832","-71.0759859"
"1088","EVERETT MA","Store","162 Santilli Hwy","","Everett","MA - Massachusetts","02149","617-394-5080","MM 488 Danvers","726;781;777;65;615;1372","","11/28/2024","42.40338405","-71.06815684950854"
"530","BRAINTREE MA","Store","550 Grossman Dr","","Braintree","MA - Massachusetts","02184","781-848-1100","MM 485 Braintree","726;781;777;65;615;1372","","11/28/2024","42.21698695","-70.9994578042481"
"2056","NEW YORK FLD SVC #2","Store","401 PARK DR","STE 4","BOSTON","MA - Massachusetts","02215","999-999-9999","MISCELLANEOUS","726;781;777;65;615;1372","","08/08/2024","42.3440365","-71.1024687"
"877","BROCKTON MA","Store","200 Westgate Dr","Westgate Mall","Brockton","MA - Massachusetts","02301","508-587-5294","MISCELLANEOUS","726;781;777;65;615;1372","02/27/2021","08/08/2024","42.0951774","-71.0528887"
"2652","BROCKTON OUTLET","Store","200 Westgate Dr","Westgate Mall","Brockton","MA - Massachusetts","02301","508-897-6720","MM 485 Braintree","726;781;777;65;615;1372","","11/28/2024","42.0951774","-71.0528887"
"385","PLYMOUTH MA","Store","228 Colony Place Rd","","Plymouth","MA - Massachusetts","02360","508-732-3640","MM 485 Braintree","726;781;777;65;615;1372","","11/28/2024","0.0","0.0"
"596","WATERTOWN MA","Store","550 Arsenal St","Ste 2","Watertown","MA - Massachusetts","02472","617-926-0142","MM 487 Framingham","726;781;777;65;615;1372","","11/28/2024","42.3643417","-71.1587609"
"568","CAPE COD MA","Store","793 Iyannough Rd","Ste A","Hyannis","MA - Massachusetts","02601","508-771-5170","MM 485 Braintree","726;781;777;65;615;1372","","11/28/2024","41.6682985","-70.299123"
"343","NORTH DARTMOUTH MA","Store","27 Faunce Corner Rd","","North Dartmouth","MA - Massachusetts","02747","508-984-0002","MM 494 Warwick","726;781;777;65;615;1372","","11/28/2024","41.6431591","-70.9864415"
"441","ATTLEBORO MA","Store","1337 S Washington St","Route 1","North Attleboro","MA - Massachusetts","02760","508-699-5800","MM 494 Warwick","726;781;777;65;615;1372","","11/28/2024","41.935511","-71.35255302436079"
"806","SEEKONK MA","Store","41 Commerce Way","","Seekonk","MA - Massachusetts","02771","508-336-1391","MM 494 Warwick","726;781;777;65;615;1372","","11/28/2024","41.7935651","-71.3221727"
"569","WARWICK RI","Store","24 Universal Blvd","","Warwick","RI - Rhode Island And Providence Plantations","02886","401-826-7007","MM 494 Warwick","726;781;777;65;615;1372","","11/28/2024","0.0","0.0"
"6501","RHODE ISLAND CUSTOM","Store","24 Universal Blvd","","Warwick","RI - Rhode Island And Providence Plantations","02886","999-999-9999","D81","726;781;777;65;615;1372","","08/08/2024","0.0","0.0"
"534","NASHUA NH","Store","220 Daniel Webster Hwy","","Nashua","NH - New Hampshire","03060","603-891-4900","MM 489 Salem","726;781;777;65;615;1372","","11/28/2024","42.7131864","-71.44124482469658"
"419","SALEM NH","Store","290 S Broadway","Unit E","Salem","NH - New Hampshire","03079","603-890-9002","MM 489 Salem","726;781;777;65;615;1372","","11/28/2024","42.7586217","-71.2139914"
"536","MANCHESTER NH","Store","1500 S Willow St","","Manchester","NH - New Hampshire","03103","603-622-0804","MM 489 Salem","726;781;777;65;615;1372","","11/28/2024","42.95538085","-71.43191006139628"
"591","CONCORD NH","Store","78 Damante Dr","","Concord","NH - New Hampshire","03301","603-227-0826","MM 489 Salem","726;781;777;65;615;1372","","11/28/2024","0.0","0.0"
"868","WEST LEBANON NH","Store","274 Plainfield Rd","","West Lebanon","NH - New Hampshire","03784","603-298-7353","MM 478 Williston","726;781;777;65;615;1372","","11/28/2024","43.62600785","-72.32547277042175"
"535","PORTSMOUTH NH","Store","45 Gosling Rd","Ste 15","Newington","NH - New Hampshire","03801","603-431-1269","MM 489 Salem","726;781;777;65;615;1372","","11/28/2024","43.0939957","-70.8010822"
"531","PORTLAND ME","Store","364 Maine Mall Rd","Box 301","South Portland","ME - Maine","04106","207-791-8800","MM 486 Portland","726;781;777;65;615;1372","","11/28/2024","43.6341705","-70.3365511"
"1464","AUGUSTA ME","Store","14 Crossing Way","","Augusta","ME - Maine","04330","207-626-3510","MM 486 Portland","726;781;777;65;615;1372","","11/28/2024","44.308492349999995","-69.80687333797896"
"463","BANGOR ME","Store","45 Bangor Mall Blvd","","Bangor","ME - Maine","04401","207-942-3434","MM 486 Portland","726;781;777;65;615;1372","","11/28/2024","44.83685654999999","-68.74576352030226"
"360","WILLISTON VT","Store","26 Cypress St","","Williston","VT - Vermont","05495","802-872-0992","MM 478 Williston","726;781;777;65;615;1372","","11/28/2024","0.0","0.0"
"484","MANCHESTER CT","Store","120 Slater St","","Manchester","CT - Connecticut","06042","860-648-5870","MM 479 Hartford West","715;781;777;65;615;1372","","11/28/2024","41.8073759","-72.5353558"
"1026","ENFIELD CT","Store","95 Elm St","","Enfield","CT - Connecticut","06082","860-741-2002","MISCELLANEOUS","715;781;777;65;615;1372","02/27/2021","08/08/2024","42.000264099999995","-72.58248635999922"
"1468","WEST SIMSBURY CT","Store","44A Albany Tpke","","West Simsbury","CT - Connecticut","06092","860-651-2359","MM 479 Hartford West","715;781;777;65;615;1372","","11/28/2024","0.0","0.0"
"381","WEST HARTFORD CT","Store","1501 New Britain Ave","","West Hartford","CT - Connecticut","06110","860-521-5400","MM 479 Hartford West","715;781;777;65;615;1372","","11/28/2024","41.723146","-72.75895056441419"
"487","NEWINGTON CT","Store","3377 Berlin Tpke","","Newington","CT - Connecticut","06111","860-666-5100","MM 479 Hartford West","715;781;777;65;615;1372","","11/28/2024","41.65584525","-72.72646754188227"
"549","WATERFORD CT","Store","913 Hartford Tpke","","Waterford","CT - Connecticut","06385","860-701-0300","MM 479 Hartford West","715;781;777;65;615;1372","","11/28/2024","41.3815238","-72.15198987975451"
"760","MERIDEN CT","Store","470 Lewis Ave","Ste 1234","Meriden","CT - Connecticut","06451","203-630-9130","MISCELLANEOUS","715;781;777;65;615;1372","10/30/2021","08/08/2024","41.5509057","-72.80784711784253"
"1488","NORTH HAVEN CT","Store","398 Universal Dr N","","North Haven","CT - Connecticut","06473","203-985-0079","MM 498 New Haven","715;781;777;65;615;1372","","11/28/2024","41.3547419","-72.8738916"
"300","ORANGE CT","Store","53 Boston Post Rd","","Orange","CT - Connecticut","06477","203-795-5730","MISCELLANEOUS","715;781;777;65;615;1372","03/04/2023","08/08/2024","41.2796758","-72.9882825"
"1067","TRUMBULL CT","Store","100 Hawley Ln","","Trumbull","CT - Connecticut","06611","203-381-0783","MM 498 New Haven","715;781;777;65;615;1372","","11/28/2024","41.2324048","-73.1528514"
"331","DANBURY CT","Store","2 International Dr","","Danbury","CT - Connecticut","06810","203-798-9699","MM 220 Hudson Valley","715;781;777;65;615;1372","","11/28/2024","41.4173496","-73.41800786525963"
"886","NORWALK CT","Store","330 Connecticut Ave","Ste 4","Norwalk","CT - Connecticut","06854","203-857-4543","MM 498 New Haven","715;781;777;65;615;1372","","11/28/2024","41.1030238","-73.4383473"
"1217","AMERICAN DREAM NJ","Store","1 American Dream Way","C351","East Rutherford","NJ - New Jersey","07073","201-508-3768","MM 221 Passaic","715;781;777;65;615;1372","","11/28/2024","40.8086083","-74.0720547"
"472","UNION NJ","Store","2391 US Highway 22 W","","Union","NJ - New Jersey","07083","908-810-2150","MMkt 218 Woodbridge","715;781;777;65;615;1372","","11/28/2024","0.0","0.0"
"1506","VAUXHALL NJ","Store","2255 Springfield Ave","","Vauxhall","NJ - New Jersey","07088","908-206-9720","MISCELLANEOUS","715;781;777;65;615;1372","03/02/2024","08/08/2024","0.0","0.0"
"474","SECAUCUS NJ","Store","3 Mill Creek Dr","","Secaucus","NJ - New Jersey","07094","201-325-2277","MM 221 Passaic","715;781;777;65;615;1372","","11/28/2024","40.79184275","-74.05228674740306"
"1535","JERSEY CITY NJ","Store","125 18th St","","Jersey City","NJ - New Jersey","07310","201-792-8399","MMkt 218 Woodbridge","715;781;777;65;615;1372","","11/28/2024","40.73189605","-74.03818054999999"
"468","WEST PATERSON NJ","Store","30 Andrews Dr","","Woodland Park","NJ - New Jersey","07424","973-812-9430","MM 221 Passaic","715;781;777;65;615;1372","","11/28/2024","40.887466399999994","-74.21300026321993"
"1554","CVE SERVICE","Store","5 NORTH CORPORATE DR","","RIVERDALE","NJ - New Jersey","07457","999-999-9999","Central NJ","715;781;777;65;615;1372","","08/08/2024","40.98869345","-74.29932473156725"
"2509","RIVERDALE NJ","Store","48 State Rt 23","","Riverdale","NJ - New Jersey","07457","973-283-3399","MM 221 Passaic","715;781;777;65;615;1372","","11/28/2024","0.0","0.0"
"344","PARAMUS NJ","Store","Route 17 N","Fashion Center Mall","Paramus","NJ - New Jersey","07652","201-652-5794","MM 215 Bergen County","715;781;777;65;615;1372","","11/28/2024","40.9421715","-74.0716352"
"887","BERGEN TWN CENTER NJ","Store","2400 Bergen Town Ctr","","Paramus","NJ - New Jersey","07652","201-556-1321","MM 215 Bergen County","715;781;777;65;615;1372","","11/28/2024","40.914476199999996","-74.05812618356507"
"1895","EATONTOWN NJ","Store","50 State Route 36","","Eatontown","NJ - New Jersey","07724","732-389-7939","MM 690 E Brunswick","715;781;777;65;615;1372","","11/28/2024","40.290411842441685","-74.05192690513844"
"388","MANALAPAN NJ","Store","15 US Highway 9","","Manalapan","NJ - New Jersey","07726","732-761-8445","MM 690 E Brunswick","715;781;777;65;615;1372","","11/28/2024","40.2885488","-74.2973932"
"400","HOLMDEL NJ","Store","2130 State Route 35","At Laurel Ave","Holmdel","NJ - New Jersey","07733","732-671-7123","MM 690 E Brunswick","715;781;777;65;615;1372","","11/28/2024","0.0","0.0"
"457","ROCKAWAY NJ","Store","345 Mount Hope Ave","Ste 1001","Rockaway","NJ - New Jersey","07866","973-659-0911","MM 227 New Brunswick","715;781;777;65;615;1372","","11/28/2024","40.90907729412378","-74.54724663451135"
"473","EAST HANOVER NJ","Store","410 State Route 10","","East Hanover","NJ - New Jersey","07936","973-515-4994","MM 227 New Brunswick","715;781;777;65;615;1372","","11/28/2024","0.0","0.0"
"1098","CHERRY HILL NJ","Store","2130 Route 70 W","","Cherry Hill","NJ - New Jersey","08002","856-910-7932","MM 539 South Jersey","715;84;777;65;615;1372","","11/28/2024","0.0","0.0"
"1177","MANAHAWKIN NJ","Store","215 Stafford Park Blvd","","Manahawkin","NJ - New Jersey","08050","609-978-9425","MM 537 Dept-Atlantic","715;781;777;65;615;1372","","11/28/2024","39.709636","-74.284745"
"2651","MARLTON OUTLET","Store","515 Route 73 S","","Marlton","NJ - New Jersey","08053","856-355-0220","MM 539 South Jersey","715;84;777;65;615;1372","","11/28/2024","0.0","0.0"
